dataset,model,ranking_eval,ranking_real,ranking_pred,value_real,value_pred,perc_completeness
abalone_5,KNN,0.2222222222222222,['impute_random' 'impute_median' 'impute_standard' 'impute_linear_regression' 'impute_knn' 'impute_random_forest' 'impute_mean' 'impute_cmeans' 'impute_mice'],['impute_random' 'impute_median' 'impute_mean' 'impute_standard' 'impute_cmeans' 'impute_mice' 'impute_linear_regression' 'impute_knn' 'impute_random_forest'],[ 0.04072484  0.00616108  0.         -0.00682468 -0.00691186 -0.00751757 -0.00967625 -0.00990758 -0.01179701],[ 0.01290482  0.00015237  0.00012632  0.         -0.00038784 -0.00060425 -0.00081588 -0.00232361 -0.00250628],0.2515374999999999
abalone_5,RandomForest,0.2222222222222222,['impute_random' 'impute_mice' 'impute_linear_regression' 'impute_random_forest' 'impute_knn' 'impute_cmeans' 'impute_standard' 'impute_median' 'impute_mean'],['impute_random' 'impute_linear_regression' 'impute_mice' 'impute_standard' 'impute_cmeans' 'impute_knn' 'impute_median' 'impute_random_forest' 'impute_mean'],[ 0.01720817  0.00520189  0.00450776  0.00299423  0.00175416  0.00058722  0.         -0.00958592 -0.01073818],[ 9.34923286e-03  2.44921591e-04  1.31464154e-04  0.00000000e+00 -6.40495055e-06 -8.78219102e-04 -1.01770871e-03 -1.25957258e-03 -1.45181281e-03],0.2515374999999999
abalone_5,AdaBoost,0.1111111111111111,['impute_random' 'impute_standard' 'impute_cmeans' 'impute_mice' 'impute_linear_regression' 'impute_random_forest' 'impute_mean' 'impute_median' 'impute_knn'],['impute_random' 'impute_linear_regression' 'impute_mice' 'impute_cmeans' 'impute_median' 'impute_mean' 'impute_knn' 'impute_random_forest' 'impute_standard'],[ 0.02390997  0.         -0.04612339 -0.06643505 -0.0669549  -0.0669549 -0.07352631 -0.07354336 -0.07439043],[0.04148724 0.02184464 0.02179735 0.01443928 0.010533   0.00833237 0.00453857 0.0025205  0.        ],0.2515374999999999
abalone_5,SVC,0.2222222222222222,['impute_standard' 'impute_random' 'impute_knn' 'impute_mean' 'impute_mice' 'impute_linear_regression' 'impute_median' 'impute_random_forest' 'impute_cmeans'],['impute_random' 'impute_mean' 'impute_cmeans' 'impute_mice' 'impute_median' 'impute_linear_regression' 'impute_standard' 'impute_random_forest' 'impute_knn'],[ 0.         -0.14688644 -0.19286312 -0.20903103 -0.2171255  -0.22968145 -0.25457922 -0.26007625 -0.27812717],[ 0.03059163  0.02822701  0.01711696  0.01584267  0.0152037   0.0148874  0.         -0.00565387 -0.00622349],0.2515374999999999
abalone_6,DecisionTree,0.3333333333333333,['impute_random' 'impute_standard' 'impute_knn' 'impute_random_forest' 'impute_linear_regression' 'impute_mice' 'impute_mean' 'impute_median' 'impute_cmeans'],['impute_random' 'impute_knn' 'impute_random_forest' 'impute_cmeans' 'impute_linear_regression' 'impute_mice' 'impute_median' 'impute_standard' 'impute_mean'],[ 0.01376933  0.         -0.02731942 -0.03466673 -0.03493629 -0.03504286 -0.03741451 -0.03982081 -0.05049504],[ 1.11121805e-02  7.74863382e-04  7.72846717e-04  3.39698774e-04  3.12699014e-04  2.90907414e-04  8.35801056e-06  0.00000000e+00 -5.10169165e-05],0.1993499999999999
abalone_6,LogisticRegression,0.2222222222222222,['impute_standard' 'impute_random' 'impute_median' 'impute_mean' 'impute_cmeans' 'impute_knn' 'impute_linear_regression' 'impute_mice' 'impute_random_forest'],['impute_random' 'impute_standard' 'impute_median' 'impute_linear_regression' 'impute_mice' 'impute_mean' 'impute_knn' 'impute_cmeans' 'impute_random_forest'],[ 0.         -0.40902984 -0.49493979 -0.50369204 -0.53223114 -0.53464338 -0.54735426 -0.55017639 -0.55097217],[ 0.00310697  0.         -0.0010993  -0.00217882 -0.00220199 -0.00233139 -0.0035419  -0.00493947 -0.0057421 ],0.1993499999999999
abalone_6,KNN,0.1111111111111111,['impute_random' 'impute_linear_regression' 'impute_median' 'impute_standard' 'impute_random_forest' 'impute_mice' 'impute_cmeans' 'impute_mean' 'impute_knn'],['impute_random' 'impute_random_forest' 'impute_mean' 'impute_mice' 'impute_linear_regression' 'impute_median' 'impute_knn' 'impute_cmeans' 'impute_standard'],[ 0.04304606  0.00730107  0.00374766  0.         -0.00570069 -0.00599343 -0.00620945 -0.00674846 -0.01025931],[0.01000552 0.00180973 0.00151152 0.00150911 0.00147995 0.00133432 0.0011805  0.00103429 0.        ],0.1993499999999999
abalone_6,RandomForest,0.3333333333333333,['impute_random' 'impute_standard' 'impute_random_forest' 'impute_knn' 'impute_linear_regression' 'impute_cmeans' 'impute_mice' 'impute_median' 'impute_mean'],['impute_random' 'impute_knn' 'impute_random_forest' 'impute_linear_regression' 'impute_mice' 'impute_cmeans' 'impute_standard' 'impute_mean' 'impute_median'],[ 0.03009308  0.         -0.00352153 -0.00361239 -0.00365643 -0.00371594 -0.00435881 -0.0071315  -0.01059557],[ 9.06354490e-03  9.24406970e-04  6.56973255e-04  4.26030437e-04  3.65938438e-04  1.26179531e-04  0.00000000e+00 -3.52504394e-05 -8.09191182e-05],0.1993499999999999
abalone_6,AdaBoost,0.1111111111111111,['impute_random' 'impute_median' 'impute_standard' 'impute_mean' 'impute_cmeans' 'impute_mice' 'impute_random_forest' 'impute_linear_regression' 'impute_knn'],['impute_random' 'impute_knn' 'impute_random_forest' 'impute_cmeans' 'impute_linear_regression' 'impute_standard' 'impute_mice' 'impute_median' 'impute_mean'],[ 0.11096361  0.00078155  0.         -0.00264152 -0.01325146 -0.02979461 -0.03241935 -0.04673133 -0.05133696],[ 8.95415119e-03  1.42290652e-03  1.29481230e-03  6.69865943e-04  1.12530237e-04  0.00000000e+00 -7.00732081e-05 -1.53037444e-04 -2.35239490e-04],0.1993499999999999
abalone_6,SVC,0.1111111111111111,['impute_standard' 'impute_random' 'impute_linear_regression' 'impute_random_forest' 'impute_mean' 'impute_median' 'impute_mice' 'impute_knn' 'impute_cmeans'],['impute_mice' 'impute_linear_regression' 'impute_standard' 'impute_cmeans' 'impute_median' 'impute_mean' 'impute_random' 'impute_knn' 'impute_random_forest'],[ 0.         -0.13782126 -0.16182557 -0.16286541 -0.17096544 -0.18897122 -0.19603511 -0.20698779 -0.21135252],[ 0.00774892  0.00680719  0.         -0.00450446 -0.00629309 -0.0097772 -0.01335162 -0.02326297 -0.02414505],0.1993499999999999
