dataset,model,technique,real,pred,perc_completeness
letter_19,LogisticRegression,impute_knn,-0.11357625287575379,-0.0027351511901838915,0.0499375
letter_20,LogisticRegression,impute_knn,-0.13216260928888457,-0.09569359614920823,0.4984
letter_21,LogisticRegression,impute_knn,-0.08262323797377169,-0.07414819117944495,0.4461125
letter_22,LogisticRegression,impute_knn,-0.0846432684513625,-0.08944496618023412,0.4066125
letter_23,LogisticRegression,impute_knn,-0.07302076796331369,-0.017878135304790304,0.3522375
letter_24,LogisticRegression,impute_knn,-0.07207575184673187,-0.031279123723827414,0.299725
letter_25,LogisticRegression,impute_knn,-0.048084586258769324,-0.032993811829089656,0.2440875
letter_26,LogisticRegression,impute_knn,-0.026342720816525222,-0.05252415187461582,0.2010875
letter_27,LogisticRegression,impute_knn,-0.0036967644333576466,-0.06038084286087259,0.1530875
letter_28,LogisticRegression,impute_knn,0.01519289011092173,-0.06660828500623353,0.097475
letter_29,LogisticRegression,impute_knn,-0.005005671277716894,-0.07832330533620063,0.0484374999999999
letter_0,LogisticRegression,impute_mice,-0.20570774229410915,-0.03453475781032911,0.4983124999999999
letter_1,LogisticRegression,impute_mice,-0.23719392603384892,-0.038938638839458826,0.44755
letter_2,LogisticRegression,impute_mice,-0.24517814214850042,-0.038639266029687834,0.4009874999999999
letter_3,LogisticRegression,impute_mice,-0.2589886735078146,-0.03529002584566813,0.3568625
letter_4,LogisticRegression,impute_mice,-0.286470376652036,-0.03439291610130077,0.3018375
letter_5,LogisticRegression,impute_mice,-0.26490442620293075,-0.029815673857932604,0.247525
letter_6,LogisticRegression,impute_mice,-0.2914052099785218,-0.010141447825059727,0.2007125
letter_7,LogisticRegression,impute_mice,-0.26346698924550616,-0.011061135245936288,0.14715
letter_8,LogisticRegression,impute_mice,-0.1882527551425235,-0.0042761443650683635,0.0986375
letter_9,LogisticRegression,impute_mice,-0.09122302132829119,-0.002780601437063319,0.050875
letter_10,LogisticRegression,impute_mice,-0.19143032356357348,-0.02443222399367011,0.5012375
letter_11,LogisticRegression,impute_mice,-0.1976492751369736,-0.025211548305604316,0.4509875
letter_12,LogisticRegression,impute_mice,-0.21931914609819758,-0.0261639301098545,0.4006124999999999
letter_13,LogisticRegression,impute_mice,-0.2292711771317617,-0.026584905287119858,0.3481125
letter_14,LogisticRegression,impute_mice,-0.21662117700143035,-0.008791688058638515,0.299475
letter_15,LogisticRegression,impute_mice,-0.19111502997533525,-0.007193793453702905,0.2524
letter_16,LogisticRegression,impute_mice,-0.21779724032009518,-0.005060872509263566,0.2019
letter_17,LogisticRegression,impute_mice,-0.18876598830307745,-0.0055761136335554795,0.1490875
letter_18,LogisticRegression,impute_mice,-0.16948970557006326,-0.0026813281944720437,0.0980249999999999
letter_19,LogisticRegression,impute_mice,-0.11295093522136779,-0.0036278580739828514,0.0499375
letter_20,LogisticRegression,impute_mice,-0.08173749927485696,-0.09008475633213565,0.4984
letter_21,LogisticRegression,impute_mice,-0.04038483013634364,-0.07015150932290522,0.4461125
