name,column_name,n_tuples,missing_perc,constancy,imbalance,uniqueness,unalikeability,entropy,density,mean_char,std_char,skewness_char,kurtosis_char,min_char,max_char,ml_method,impute_standard,impute_mode,impute_random,impute_knn,impute_mice,impute_logistic_regression,impute_random_forest,impute_kproto
stars,Color,240,0.4875,0.4797,59.0,0.1138,0.7098,1.6565,0.4866,5.0894,3.071,0.8136,0.8106,3.0,18.0,DecisionTree,0.9895725520165484,0.996536074605071,0.996536074605071,0.982490320975984,0.9895725520165484,0.9895725520165484,0.9894538435645066,0.982490320975984
stars,Color,240,0.4875,0.4797,59.0,0.1138,0.7098,1.6565,0.4866,5.0894,3.071,0.8136,0.8106,3.0,18.0,LogisticRegression,0.958099616380601,0.9615586110895957,0.957743744852715,0.9653088454839059,0.9653088454839059,0.9653088454839059,0.9788745590828924,0.9615586110895957
stars,Color,240,0.4875,0.4797,59.0,0.1138,0.7098,1.6565,0.4866,5.0894,3.071,0.8136,0.8106,3.0,18.0,KNN,0.8695243145282592,0.8788976610891057,0.7621044777823313,0.9342966979890821,0.9342966979890821,0.9224261629676227,0.9187866688221213,0.8788976610891057
stars,Color,240,0.4875,0.4797,59.0,0.1138,0.7098,1.6565,0.4866,5.0894,3.071,0.8136,0.8106,3.0,18.0,RandomForest,0.985977186831145,0.9824858864648446,1.0,0.9965316400939316,0.9930667382358204,0.993073927101705,0.9965007039202946,0.989568117505409
stars,Color,240,0.4875,0.4797,59.0,0.1138,0.7098,1.6565,0.4866,5.0894,3.071,0.8136,0.8106,3.0,18.0,AdaBoost,0.5197766027249723,0.5197766027249723,0.5197766027249723,0.5197766027249723,0.5197766027249723,0.5197766027249723,0.5197766027249723,0.5197766027249723
stars,Color,240,0.4875,0.4797,59.0,0.1138,0.7098,1.6565,0.4866,5.0894,3.071,0.8136,0.8106,3.0,18.0,SVC,0.9118365319976549,0.9147503542579933,0.8460654589820064,0.930824652273173,0.930824652273173,0.944992233745862,0.948259625444696,0.9147503542579933
stars,Color,240,0.4,0.4306,62.0,0.0972,0.7427,1.7524,0.4958,5.3958,3.3421,0.7923,0.6866,3.0,18.0,DecisionTree,0.996536074605071,0.982490320975984,0.9895725520165484,0.996536074605071,0.9894538435645066,0.9894538435645066,0.9894538435645066,0.9895725520165484
stars,Color,240,0.4,0.4306,62.0,0.0972,0.7427,1.7524,0.4958,5.3958,3.3421,0.7923,0.6866,3.0,18.0,LogisticRegression,0.9582200447906292,0.9720774253108954,0.9269054298757156,0.9786874086764438,0.9786874086764438,0.9790218697553398,0.9748593467601466,0.9720774253108954
stars,Color,240,0.4,0.4306,62.0,0.0972,0.7427,1.7524,0.4958,5.3958,3.3421,0.7923,0.6866,3.0,18.0,KNN,0.8608781951771709,0.8764854582844339,0.7941131132251236,0.9272582682000485,0.9084285731655746,0.9223399270518994,0.9306087506968954,0.8764854582844339
stars,Color,240,0.4,0.4306,62.0,0.0972,0.7427,1.7524,0.4958,5.3958,3.3421,0.7923,0.6866,3.0,18.0,RandomForest,1.0,0.9965277777777778,0.996536074605071,1.0,0.9965007039202946,0.9965007039202946,1.0,1.0
stars,Color,240,0.4,0.4306,62.0,0.0972,0.7427,1.7524,0.4958,5.3958,3.3421,0.7923,0.6866,3.0,18.0,AdaBoost,0.5197766027249723,0.5197766027249723,0.5197766027249723,0.5197766027249723,0.5197766027249723,0.5197766027249723,0.5197766027249723,0.5197766027249723
stars,Color,240,0.4,0.4306,62.0,0.0972,0.7427,1.7524,0.4958,5.3958,3.3421,0.7923,0.6866,3.0,18.0,SVC,0.9119468745976946,0.9294120950875294,0.856339322214393,0.9369617867404819,0.9369617867404819,0.9391778208923537,0.9470600278764193,0.9294120950875294
stars,Color,240,0.2708,0.4,70.0,0.0971,0.7569,1.8383,0.3319,5.4686,3.324,0.783,0.6524,3.0,18.0,DecisionTree,0.982490320975984,0.996536074605071,0.982490320975984,0.996536074605071,0.9895725520165484,0.996536074605071,0.9930364774114774,0.9895725520165484
stars,Color,240,0.2708,0.4,70.0,0.0971,0.7569,1.8383,0.3319,5.4686,3.324,0.783,0.6524,3.0,18.0,LogisticRegression,0.9510655432362175,0.9545245379452122,0.9404586153695095,0.9786874086764438,0.9786874086764438,0.9786874086764438,0.9786874086764438,0.957957995326038
stars,Color,240,0.2708,0.4,70.0,0.0971,0.7569,1.8383,0.3319,5.4686,3.324,0.783,0.6524,3.0,18.0,KNN,0.861594397436368,0.8764184297736006,0.8055132405472075,0.9334945392356867,0.9334945392356867,0.9298494753939502,0.9259792715763183,0.8768114533230147
stars,Color,240,0.2708,0.4,70.0,0.0971,0.7569,1.8383,0.3319,5.4686,3.324,0.783,0.6524,3.0,18.0,RandomForest,0.9965007039202946,1.0,1.0,1.0,1.0,1.0,1.0,0.9965277777777778
