name,column,percentage_outliers,std_outliers,technique_accuracy,f1_technique
acustic,_Zero-crossingrate_Mean,40,2,IQR,0.6450409311004629
acustic,_Fluctuation_Mean,40,2,IQR,0.890826648817007
acustic,_HarmonicChangeDetectionFunction_Std,50,2,IQR,0.0138256087981146
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,50,2,IQR,0.0876984126984126
acustic,_Zero-crossingrate_Mean,50,2,IQR,0.0160550458715596
acustic,_Fluctuation_Mean,50,2,IQR,0.1407775324993868
acustic,_HarmonicChangeDetectionFunction_Std,10,2,ISO,0.9325488931653314
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,10,2,ISO,0.9252660893251908
acustic,_Zero-crossingrate_Mean,10,2,ISO,0.8960926178873004
acustic,_Fluctuation_Mean,10,2,ISO,0.8043946892740448
acustic,_HarmonicChangeDetectionFunction_Std,20,2,ISO,0.6682034722733975
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,20,2,ISO,0.6613282236304093
acustic,_Zero-crossingrate_Mean,20,2,ISO,0.6485113859711291
acustic,_Fluctuation_Mean,20,2,ISO,0.5456734731896022
acustic,_HarmonicChangeDetectionFunction_Std,30,2,ISO,0.4774826622918837
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,30,2,ISO,0.4922155757370508
acustic,_Zero-crossingrate_Mean,30,2,ISO,0.4801302028934255
acustic,_Fluctuation_Mean,30,2,ISO,0.3684539146327393
acustic,_HarmonicChangeDetectionFunction_Std,40,2,ISO,0.3738502374494195
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,40,2,ISO,0.3746826355747552
acustic,_Zero-crossingrate_Mean,40,2,ISO,0.3554969767525152
acustic,_Fluctuation_Mean,40,2,ISO,0.3256014646182023
acustic,_HarmonicChangeDetectionFunction_Std,50,2,ISO,0.3088251990237698
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,50,2,ISO,0.3055800986170325
acustic,_Zero-crossingrate_Mean,50,2,ISO,0.3000343904587074
acustic,_Fluctuation_Mean,50,2,ISO,0.2638917760857402
acustic,_HarmonicChangeDetectionFunction_Std,10,2,PERC,0.337655700040444
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,10,2,PERC,0.3171471476001092
acustic,_Zero-crossingrate_Mean,10,2,PERC,0.3174622382188641
acustic,_Fluctuation_Mean,10,2,PERC,0.3266813726763664
acustic,_HarmonicChangeDetectionFunction_Std,20,2,PERC,0.185391805054473
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,20,2,PERC,0.1834043196272433
acustic,_Zero-crossingrate_Mean,20,2,PERC,0.1850362575784639
acustic,_Fluctuation_Mean,20,2,PERC,0.1895394499085334
acustic,_HarmonicChangeDetectionFunction_Std,30,2,PERC,0.1227128929079051
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,30,2,PERC,0.124252683711526
acustic,_Zero-crossingrate_Mean,30,2,PERC,0.126748197921404
acustic,_Fluctuation_Mean,30,2,PERC,0.1216279555465525
acustic,_HarmonicChangeDetectionFunction_Std,40,2,PERC,0.0924183392373787
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,40,2,PERC,0.0944639493659989
acustic,_Zero-crossingrate_Mean,40,2,PERC,0.0930247282051911
acustic,_Fluctuation_Mean,40,2,PERC,0.0982243405409726
acustic,_HarmonicChangeDetectionFunction_Std,50,2,PERC,0.0770592571225076
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,50,2,PERC,0.076056276841677
acustic,_Zero-crossingrate_Mean,50,2,PERC,0.074255145385355
acustic,_Fluctuation_Mean,50,2,PERC,0.0764188929601122
acustic,_HarmonicChangeDetectionFunction_Std,10,2,STD,0.6029703265640133
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,10,2,STD,0.5234502672739667
acustic,_Zero-crossingrate_Mean,10,2,STD,0.504208044666671
acustic,_Fluctuation_Mean,10,2,STD,0.5635253456221199
acustic,_HarmonicChangeDetectionFunction_Std,20,2,STD,0.1248396463866206
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,20,2,STD,0.1382679401618974
acustic,_Zero-crossingrate_Mean,20,2,STD,0.1463698339198242
acustic,_Fluctuation_Mean,20,2,STD,0.2118764760294062
acustic,_HarmonicChangeDetectionFunction_Std,30,2,STD,0.0
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,30,2,STD,0.0
acustic,_Zero-crossingrate_Mean,30,2,STD,0.0
acustic,_Fluctuation_Mean,30,2,STD,0.0
acustic,_HarmonicChangeDetectionFunction_Std,40,2,STD,0.0
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,40,2,STD,0.0
acustic,_Zero-crossingrate_Mean,40,2,STD,0.0
acustic,_Fluctuation_Mean,40,2,STD,0.0
acustic,_HarmonicChangeDetectionFunction_Std,50,2,STD,0.0
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,50,2,STD,0.0
acustic,_Zero-crossingrate_Mean,50,2,STD,0.0
acustic,_Fluctuation_Mean,50,2,STD,0.0
acustic,_HarmonicChangeDetectionFunction_Std,10,2,ZSB,0.9416101783299488
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,10,2,ZSB,0.8291529824131431
acustic,_Zero-crossingrate_Mean,10,2,ZSB,0.8050519509768054
acustic,_Fluctuation_Mean,10,2,ZSB,0.7987590712640563
acustic,_HarmonicChangeDetectionFunction_Std,20,2,ZSB,0.9786293250366704
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,20,2,ZSB,0.9146353804144916
acustic,_Zero-crossingrate_Mean,20,2,ZSB,0.9052552307493216
acustic,_Fluctuation_Mean,20,2,ZSB,0.9189393058891404
acustic,_HarmonicChangeDetectionFunction_Std,30,2,ZSB,0.9749908967297148
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,30,2,ZSB,0.9278838499344112
acustic,_Zero-crossingrate_Mean,30,2,ZSB,0.9064009646220192
acustic,_Fluctuation_Mean,30,2,ZSB,0.9471628573979683
acustic,_HarmonicChangeDetectionFunction_Std,40,2,ZSB,0.8800054290252876
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,40,2,ZSB,0.8638501085268476
acustic,_Zero-crossingrate_Mean,40,2,ZSB,0.8731657627663275
acustic,_Fluctuation_Mean,40,2,ZSB,0.9362107793008982
acustic,_HarmonicChangeDetectionFunction_Std,50,2,ZSB,0.3552630742004355
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,50,2,ZSB,0.4092008506439057
acustic,_Zero-crossingrate_Mean,50,2,ZSB,0.5172135627167882
acustic,_Fluctuation_Mean,50,2,ZSB,0.7422361484695879
acustic,_HarmonicChangeDetectionFunction_Std,10,2,KNN,0.217698465057542
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,10,2,KNN,0.2144537914133144
acustic,_Zero-crossingrate_Mean,10,2,KNN,0.1947507511439965
acustic,_Fluctuation_Mean,10,2,KNN,0.1877664569976002
acustic,_HarmonicChangeDetectionFunction_Std,20,2,KNN,0.363360059375844
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,20,2,KNN,0.3568331090059695
acustic,_Zero-crossingrate_Mean,20,2,KNN,0.3288037352499361
acustic,_Fluctuation_Mean,20,2,KNN,0.3250998841627421
acustic,_HarmonicChangeDetectionFunction_Std,30,2,KNN,0.4985945181179481
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,30,2,KNN,0.4826572249405926
acustic,_Zero-crossingrate_Mean,30,2,KNN,0.4571748350705137
acustic,_Fluctuation_Mean,30,2,KNN,0.4734938739164539
acustic,_HarmonicChangeDetectionFunction_Std,40,2,KNN,0.6040016742119878
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,40,2,KNN,0.5878285198615506
acustic,_Zero-crossingrate_Mean,40,2,KNN,0.582206549638867
acustic,_Fluctuation_Mean,40,2,KNN,0.5584766368474429
acustic,_HarmonicChangeDetectionFunction_Std,50,2,KNN,0.6756438406313185
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,50,2,KNN,0.6780522019403805
acustic,_Zero-crossingrate_Mean,50,2,KNN,0.683107045453056
acustic,_Fluctuation_Mean,50,2,KNN,0.6698945660430377
acustic,_HarmonicChangeDetectionFunction_Std,10,2,LOF,0.5708470207714053
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,10,2,LOF,0.6092211376381922
acustic,_Zero-crossingrate_Mean,10,2,LOF,0.5791402783203978
acustic,_Fluctuation_Mean,10,2,LOF,0.42685422791567
acustic,_HarmonicChangeDetectionFunction_Std,20,2,LOF,0.3452938042277506
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,20,2,LOF,0.3922671162076622
acustic,_Zero-crossingrate_Mean,20,2,LOF,0.3896983003944665
acustic,_Fluctuation_Mean,20,2,LOF,0.3269784827550735
acustic,_HarmonicChangeDetectionFunction_Std,30,2,LOF,0.2175465338653194
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,30,2,LOF,0.2914055115447604
