dataset,model,ranking_eval,ranking_real,ranking_pred,value_real,value_pred,perc_completeness
drug_11,LogisticRegression,0.375,['impute_knn' 'impute_mode' 'impute_kproto' 'impute_logistic_regression' 'impute_mice' 'impute_random_forest' 'impute_standard' 'impute_random'],['impute_random' 'impute_standard' 'impute_kproto' 'impute_mode' 'impute_mice' 'impute_random_forest' 'impute_knn' 'impute_logistic_regression'],[ 0.03840483  0.03573678  0.03573678  0.03222236  0.0276744   0.01579689  0.         -0.01034375],[ 0.00978825  0.         -0.00071908 -0.00076443 -0.00367991 -0.00377761 -0.00389513 -0.00513671],0.44625
drug_11,KNN,0.125,['impute_standard' 'impute_mode' 'impute_kproto' 'impute_logistic_regression' 'impute_mice' 'impute_knn' 'impute_random_forest' 'impute_random'],['impute_random' 'impute_standard' 'impute_kproto' 'impute_mode' 'impute_random_forest' 'impute_mice' 'impute_knn' 'impute_logistic_regression'],[ 0.         -0.04980381 -0.04980381 -0.05032643 -0.05459991 -0.05552038 -0.06322935 -0.08656047],[ 0.0202575   0.         -0.00547655 -0.00560836 -0.01823498 -0.01915573 -0.01992969 -0.02161516],0.44625
drug_11,RandomForest,0.125,['impute_knn' 'impute_mice' 'impute_random_forest' 'impute_kproto' 'impute_mode' 'impute_logistic_regression' 'impute_random' 'impute_standard'],['impute_random' 'impute_standard' 'impute_mode' 'impute_kproto' 'impute_logistic_regression' 'impute_mice' 'impute_knn' 'impute_random_forest'],[0.08074649 0.07953116 0.06302237 0.05693067 0.0521041  0.04621537 0.03185959 0.        ],[ 0.00570894  0.         -0.00027617 -0.00057762 -0.00188811 -0.00236982 -0.00243083 -0.00268608],0.44625
drug_11,AdaBoost,0.0,['impute_mode' 'impute_kproto' 'impute_mice' 'impute_knn' 'impute_random_forest' 'impute_logistic_regression' 'impute_standard' 'impute_random'],['impute_random' 'impute_random_forest' 'impute_standard' 'impute_mode' 'impute_kproto' 'impute_knn' 'impute_mice' 'impute_logistic_regression'],[ 0.06113277  0.06113277  0.05170045  0.05051645  0.04659348  0.04429666  0.         -0.00172504],[ 0.00495305  0.00045375  0.         -0.00017737 -0.00025084 -0.00241824 -0.00256473 -0.00316532],0.44625
drug_11,SVC,0.125,['impute_knn' 'impute_mice' 'impute_mode' 'impute_kproto' 'impute_logistic_regression' 'impute_random_forest' 'impute_random' 'impute_standard'],['impute_logistic_regression' 'impute_mice' 'impute_random_forest' 'impute_knn' 'impute_standard' 'impute_kproto' 'impute_mode' 'impute_random'],[0.05761128 0.05376687 0.05097774 0.05097774 0.04704902 0.02626321 0.00705522 0.        ],[ 0.02161315  0.01509271  0.01427577  0.01388058  0.         -0.00636155 -0.00636975 -0.03306688],0.44625
drug_12,DecisionTree,0.125,['impute_knn' 'impute_mice' 'impute_logistic_regression' 'impute_mode' 'impute_random' 'impute_kproto' 'impute_random_forest' 'impute_standard'],['impute_random' 'impute_random_forest' 'impute_mode' 'impute_standard' 'impute_mice' 'impute_kproto' 'impute_knn' 'impute_logistic_regression'],[0.10012902 0.09045199 0.08989048 0.07129097 0.07121413 0.06941778 0.06676274 0.        ],[ 8.16199893e-03  7.62750318e-04  3.70597225e-04  0.00000000e+00 -8.59562939e-05 -1.79582877e-04 -5.77026756e-04 -3.32794359e-03],0.410625
drug_12,LogisticRegression,0.125,['impute_knn' 'impute_mice' 'impute_mode' 'impute_kproto' 'impute_random' 'impute_random_forest' 'impute_logistic_regression' 'impute_standard'],['impute_random' 'impute_kproto' 'impute_mode' 'impute_standard' 'impute_random_forest' 'impute_mice' 'impute_knn' 'impute_logistic_regression'],[0.05719808 0.05621127 0.0490702  0.0490702  0.0371132  0.03405499 0.03336597 0.        ],[ 0.01203996  0.00042279  0.00037813  0.         -0.00081002 -0.0011182 -0.00130508 -0.00309478],0.410625
drug_12,KNN,0.0,['impute_standard' 'impute_random_forest' 'impute_knn' 'impute_mice' 'impute_random' 'impute_logistic_regression' 'impute_mode' 'impute_kproto'],['impute_random' 'impute_standard' 'impute_kproto' 'impute_mode' 'impute_random_forest' 'impute_mice' 'impute_knn' 'impute_logistic_regression'],[ 0.         -0.00151534 -0.00299544 -0.00416753 -0.01123034 -0.0167199 -0.01804171 -0.01804171],[ 0.02302112  0.         -0.00341999 -0.00343836 -0.01437752 -0.01533698 -0.01613583 -0.01849404],0.410625
drug_12,RandomForest,0.0,['impute_knn' 'impute_mice' 'impute_random_forest' 'impute_mode' 'impute_kproto' 'impute_random' 'impute_logistic_regression' 'impute_standard'],['impute_random' 'impute_mode' 'impute_kproto' 'impute_random_forest' 'impute_mice' 'impute_knn' 'impute_standard' 'impute_logistic_regression'],[0.08860385 0.0834012  0.06754513 0.06208497 0.05559561 0.05075324 0.04721434 0.        ],[ 8.43747113e-03  4.76770560e-04  2.23651063e-04  1.92803484e-04  1.53377254e-04  4.54072328e-05  0.00000000e+00 -7.18364596e-04],0.410625
drug_12,AdaBoost,0.125,['impute_logistic_regression' 'impute_random_forest' 'impute_knn' 'impute_mice' 'impute_standard' 'impute_random' 'impute_mode' 'impute_kproto'],['impute_random' 'impute_random_forest' 'impute_standard' 'impute_kproto' 'impute_mode' 'impute_knn' 'impute_mice' 'impute_logistic_regression'],[ 0.02745196  0.01972728  0.01710062  0.01681179  0.         -0.0129233 -0.01724863 -0.01724863],[ 0.00461544  0.00061868  0.         -0.00016402 -0.00029512 -0.00305661 -0.00312535 -0.00651936],0.410625
drug_12,SVC,0.25,['impute_knn' 'impute_mice' 'impute_random_forest' 'impute_mode' 'impute_kproto' 'impute_logistic_regression' 'impute_random' 'impute_standard'],['impute_logistic_regression' 'impute_mice' 'impute_random_forest' 'impute_knn' 'impute_standard' 'impute_kproto' 'impute_mode' 'impute_random'],[0.08213165 0.08182738 0.06804797 0.06190554 0.06190554 0.04238138 0.03603676 0.        ],[ 0.02333276  0.01808566  0.01749067  0.01663129  0.         -0.00502317 -0.00503051 -0.03024624],0.410625
drug_13,DecisionTree,0.125,['impute_knn' 'impute_random' 'impute_mice' 'impute_logistic_regression' 'impute_random_forest' 'impute_mode' 'impute_kproto' 'impute_standard'],['impute_random' 'impute_random_forest' 'impute_mice' 'impute_knn' 'impute_mode' 'impute_kproto' 'impute_standard' 'impute_logistic_regression'],[0.05352603 0.04889456 0.04787409 0.03970373 0.03219438 0.02092601 0.02048039 0.        ],[ 0.01443062  0.00426901  0.0022876   0.00210573  0.00181882  0.00144057  0.         -0.00411985],0.353125
drug_13,LogisticRegression,0.125,['impute_mode' 'impute_kproto' 'impute_logistic_regression' 'impute_knn' 'impute_mice' 'impute_random' 'impute_standard' 'impute_random_forest'],['impute_random' 'impute_random_forest' 'impute_mice' 'impute_knn' 'impute_kproto' 'impute_mode' 'impute_logistic_regression' 'impute_standard'],[ 0.04355067  0.04355067  0.0356442   0.03177905  0.03154081  0.00464065  0.         -0.00406654],[1.55617139e-02 3.66009118e-03 2.68732441e-03 2.61002282e-03 2.43953821e-03 2.41933962e-03 5.44025602e-05 0.00000000e+00],0.353125
drug_13,KNN,0.0,['impute_standard' 'impute_random' 'impute_logistic_regression' 'impute_mode' 'impute_kproto' 'impute_random_forest' 'impute_mice' 'impute_knn'],['impute_random' 'impute_kproto' 'impute_mode' 'impute_standard' 'impute_random_forest' 'impute_mice' 'impute_knn' 'impute_logistic_regression'],[ 0.         -0.03423629 -0.05057681 -0.05655947 -0.05655947 -0.06848123 -0.07225147 -0.07260137],[ 0.02494082  0.0003206   0.00023936  0.         -0.0059023  -0.00719383 -0.00766077 -0.01074526],0.353125
drug_13,RandomForest,0.25,['impute_mice' 'impute_knn' 'impute_logistic_regression' 'impute_mode' 'impute_random_forest' 'impute_kproto' 'impute_random' 'impute_standard'],['impute_random' 'impute_random_forest' 'impute_mice' 'impute_knn' 'impute_mode' 'impute_kproto' 'impute_logistic_regression' 'impute_standard'],[0.05344946 0.05142906 0.04945108 0.04034328 0.04010293 0.03798551 0.02096603 0.        ],[0.01346709 0.00449125 0.00402632 0.00391859 0.0021972  0.0018158 0.0008187  0.        ],0.353125
drug_13,AdaBoost,0.25,['impute_knn' 'impute_mice' 'impute_random_forest' 'impute_random' 'impute_logistic_regression' 'impute_mode' 'impute_kproto' 'impute_standard'],['impute_random' 'impute_mice' 'impute_random_forest' 'impute_knn' 'impute_kproto' 'impute_standard' 'impute_mode' 'impute_logistic_regression'],[0.08683219 0.0861586  0.06251246 0.02183426 0.02182241 0.00745965 0.00745965 0.        ],[ 1.18627169e-02  8.95151420e-04  8.68128805e-04  8.30737139e-04  8.34178205e-05  0.00000000e+00 -1.40966652e-04 -1.14011582e-02],0.353125
drug_13,SVC,0.0,['impute_mice' 'impute_knn' 'impute_logistic_regression' 'impute_mode' 'impute_kproto' 'impute_random_forest' 'impute_random' 'impute_standard'],['impute_logistic_regression' 'impute_random_forest' 'impute_mice' 'impute_knn' 'impute_standard' 'impute_mode' 'impute_kproto' 'impute_random'],[0.03705716 0.03543808 0.03076102 0.01859654 0.01859654 0.01325058 0.0039057  0.        ],[ 0.02596148  0.02298398  0.02296058  0.02080169  0.         -0.00275529 -0.00276687 -0.02790987],0.353125
drug_14,DecisionTree,0.0,['impute_knn' 'impute_mice' 'impute_logistic_regression' 'impute_random_forest' 'impute_random' 'impute_mode' 'impute_kproto' 'impute_standard'],['impute_random' 'impute_random_forest' 'impute_mode' 'impute_kproto' 'impute_mice' 'impute_knn' 'impute_standard' 'impute_logistic_regression'],[0.08361198 0.08305521 0.07076554 0.06526165 0.0607605  0.06017862 0.05853493 0.        ],[ 0.01011828  0.00257181  0.0012763   0.00111639  0.00089032  0.00066467  0.         -0.0016471 ],0.295
drug_14,LogisticRegression,0.125,['impute_knn' 'impute_mice' 'impute_mode' 'impute_kproto' 'impute_logistic_regression' 'impute_random_forest' 'impute_random' 'impute_standard'],['impute_random' 'impute_kproto' 'impute_mode' 'impute_random_forest' 'impute_standard' 'impute_mice' 'impute_knn' 'impute_logistic_regression'],[0.06667047 0.06497864 0.05920707 0.05920707 0.04754156 0.02850707 0.02731528 0.        ],[ 0.01205165  0.00150781  0.00147657  0.00094796  0.         -0.00025651 -0.00028217 -0.00145852],0.295
drug_14,KNN,0.125,['impute_knn' 'impute_standard' 'impute_mice' 'impute_logistic_regression' 'impute_kproto' 'impute_mode' 'impute_random_forest' 'impute_random'],['impute_random' 'impute_standard' 'impute_kproto' 'impute_mode' 'impute_random_forest' 'impute_mice' 'impute_knn' 'impute_logistic_regression'],[ 0.00079659  0.         -0.00387478 -0.02126066 -0.0280261  -0.02942097 -0.03451549 -0.03512091],[ 0.01478346  0.         -0.00183677 -0.00195338 -0.00770406 -0.00937762 -0.00973526 -0.0108156 ],0.295
