Ratings,RAM,ROM,Mobile_Size,Primary_Cam,Selfi_Cam,Battery_Power,Price_Class
3.9,6.0,32.0,4.54,48,,3000,1000-10000
3.9,6.0,32.0,4.54,48,5.0,1750,1000-10000
4.0,8.0,,4.77,48,,2500,1000-10000
4.4,6.0,128.0,6.26,48,2.0,3750,10000-60000
3.6,6.0,64.0,4.5,48,,3000,0-1000
4.4,8.0,128.0,6.4,64,13.0,4025,10000-60000
4.4,8.0,128.0,6.7,64,12.0,4700,10000-60000
4.5,6.0,128.0,6.39,48,13.0,3000,10000-60000
3.5,6.0,64.0,4.5,48,5.0,3000,0-1000
4.2,4.0,4.0,4.54,48,,1020,1000-10000
4.4,12.0,25.0,6.44,48,13.0,4440,10000-60000
4.5,8.0,256.0,6.6,48,13.0,4065,10000-60000
3.7,8.0,64.0,4.5,64,,1050,0-1000
4.5,8.0,128.0,6.3,48,2.0,3500,10000-60000
3.4,6.0,32.0,4.5,48,5.0,1050,0-1000
4.5,6.0,64.0,6.5,64,13.0,3800,10000-60000
3.4,6.0,32.0,4.5,48,,1050,0-1000
4.4,8.0,256.0,6.44,48,8.0,4700,10000-60000
4.6,8.0,256.0,6.67,48,1.0,4085,10000-60000
4.2,6.0,32.0,4.54,48,5.0,2500,1000-10000
4.2,6.0,32.0,4.54,64,,2500,1000-10000
4.5,4.0,64.0,6.26,35,5.0,3000,10000-60000
4.2,4.0,4.0,4.5,64,5.0,3500,1000-10000
3.6,8.0,64.0,4.54,64,5.0,2500,1000-10000
4.1,6.0,32.0,4.54,48,20.0,3500,1000-10000
4.1,6.0,32.0,4.4,48,12.0,2500,0-1000
4.1,6.0,32.0,3.7,64,12.0,3500,0-1000
3.9,4.0,64.0,4.54,64,,1750,1000-10000
4.3,8.0,128.0,6.52,48,8.0,5000,10000-60000
3.7,6.0,64.0,4.54,48,12.0,1500,0-1000
4.0,6.0,32.0,4.77,48,12.0,3800,0-1000
4.4,6.0,128.0,6.5,48,5.0,3800,10000-60000
4.3,6.0,32.0,4.58,64,12.0,1750,1000-10000
4.1,8.0,64.0,4.77,48,,3800,1000-10000
4.1,8.0,64.0,4.77,48,8.0,5000,1000-10000
4.1,8.0,64.0,4.77,48,,3000,1000-10000
4.0,6.0,32.0,4.5,48,12.0,3000,0-1000
4.5,4.0,64.0,5.6,35,20.0,3000,10000-60000
4.5,6.0,128.0,6.4,64,8.0,6000,10000-60000
3.8,6.0,32.0,4.4,48,,2500,0-1000
3.8,6.0,32.0,4.4,48,12.0,2500,0-1000
4.1,1.0,16.0,5.0,5,2.0,2500,1000-10000
4.5,6.0,64.0,6.39,48,13.0,3800,10000-60000
4.5,6.0,64.0,5.5,35,12.0,3500,10000-60000
3.8,6.0,32.0,4.54,48,12.0,2800,1000-10000
4.2,6.0,32.0,4.54,48,20.0,1200,1000-10000
3.9,6.0,32.0,4.5,64,12.0,2000,0-1000
4.2,8.0,51.0,4.54,48,,1750,1000-10000
4.4,8.0,128.0,6.4,64,13.0,4025,10000-60000
4.4,8.0,128.0,6.4,64,13.0,4025,10000-60000
3.7,0.0,64.0,4.54,64,,3500,0-1000
4.1,6.0,32.0,3.7,64,15.0,3500,0-1000
3.5,6.0,64.0,4.5,48,,3000,0-1000
4.5,6.0,64.0,6.26,35,5.0,3000,10000-60000
3.8,6.0,32.0,4.77,48,15.0,3000,0-1000
3.8,6.0,32.0,4.77,48,15.0,3000,0-1000
4.4,6.0,64.0,6.38,48,8.0,4700,10000-60000
3.7,6.0,32.0,4.54,64,,2800,0-1000
4.1,6.0,32.0,44.0,48,15.0,3000,0-1000
4.1,6.0,32.0,44.0,48,15.0,3000,0-1000
4.1,6.0,32.0,44.0,48,15.0,3000,0-1000
4.4,4.0,64.0,6.35,38,2.0,5000,10000-60000
4.0,6.0,32.0,4.54,64,,2500,1000-10000
3.4,6.0,64.0,4.54,20,,3500,1000-10000
4.5,8.0,256.0,6.67,48,8.0,3800,10000-60000
4.6,6.0,128.0,6.67,48,8.0,3800,10000-60000
4.0,3.0,32.0,5.4,38,8.0,3800,1000-10000
4.5,8.0,128.0,6.7,64,1.0,4700,10000-60000
3.7,6.0,32.0,2.0,64,16.0,1550,1000-10000
3.8,6.0,32.0,4.54,48,16.0,3000,1000-10000
4.2,4.0,3.0,4.77,48,,1750,1000-10000
4.7,8.0,64.0,5.8,35,12.0,5000,10000-60000
4.6,8.0,128.0,6.1,48,12.0,3000,10000-60000
4.2,12.0,24.0,4.77,48,,3000,1000-10000
4.1,10.0,25.0,6.41,48,2.0,3000,10000-60000
4.1,3.0,32.0,5.7,38,1.0,2900,1000-10000
