dataset,model,ranking_eval,ranking_real,ranking_pred,value_real,value_pred
fried_1,RandomForest,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.82726375 0.83330467],[0.86235635 0.93801871]
fried_1,AdaBoost,0.0,['accuracy' 'completeness'],['completeness' 'accuracy'],[0.84017291 0.84247038],[0.87731201 0.87790251]
fried_1,SVC,0.0,['completeness' 'accuracy'],['accuracy' 'completeness'],[0.58619221 0.67047206],[0.55644805 0.86191752]
fried_2,DecisionTree,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.83902702 0.87160519],[0.83028119 0.89115969]
fried_2,LogisticRegression,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.7403404  0.91601699],[0.57541462 0.88000934]
fried_2,KNN,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.7627544  0.86863179],[0.69021512 0.93200492]
fried_2,RandomForest,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.85967286 0.8745202 ],[0.88664739 0.91311857]
fried_2,AdaBoost,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.87821845 0.88953078],[0.83858401 0.95569769]
fried_2,SVC,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.68581273 0.76159873],[0.46210763 0.77155566]
fried_3,DecisionTree,0.0,['accuracy' 'completeness'],['completeness' 'accuracy'],[0.87571375 0.90663576],[0.87728321 0.88385311]
fried_3,LogisticRegression,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.8024561  0.94168406],[0.59262136 0.87352216]
fried_3,KNN,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.82242323 0.90468874],[0.75509254 0.90184194]
fried_3,RandomForest,0.0,['accuracy' 'completeness'],['completeness' 'accuracy'],[0.8916484  0.91480841],[0.90470861 0.9280262 ]
fried_3,AdaBoost,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.9135708  0.92350885],[0.90532508 0.95222185]
